s_arc,x,y,z,width_left,width_right,sector
0.0000,0.9610,4.0223,0.0000,7.3610,7.5650,1
5.0013,4.9352,0.9860,0.0000,7.3820,7.5840,1
10.0027,8.9093,-2.0504,0.0000,7.4030,7.6030,1
15.0040,12.8834,-5.0868,0.0000,7.4240,7.6220,1
20.0053,16.8575,-8.1232,0.0000,7.4440,7.6410,1
25.0066,20.8317,-11.1595,0.0000,7.4650,7.6590,1
30.0079,24.8059,-14.1957,0.0000,7.4860,7.6780,1
35.0092,28.7802,-17.2318,0.0000,7.5070,7.6970,1
40.0106,32.7547,-20.2678,0.0000,7.5280,7.7160,1
45.0119,36.7292,-23.3037,0.0000,7.5490,7.7350,1
50.0133,40.7037,-26.3395,0.0000,7.5690,7.7540,1
55.0146,44.6783,-29.3753,0.0000,7.5900,7.7730,1
60.0160,48.6530,-32.4110,0.0000,7.6110,7.7920,1
65.0173,52.6278,-35.4466,0.0000,7.6320,7.8100,1
70.0187,56.6026,-38.4821,0.0000,7.6530,7.8290,1
75.0201,60.5775,-41.5176,0.0000,7.6730,7.8480,1
80.0214,64.5524,-44.5530,0.0000,7.6940,7.8670,1
85.0228,68.5274,-47.5883,0.0000,7.7150,7.8860,1
90.0242,72.5025,-50.6236,0.0000,7.7360,7.9050,1
95.0256,76.4775,-53.6589,0.0000,7.7570,7.9240,1
100.0270,80.4527,-56.6941,0.0000,7.7780,7.9420,1
105.0284,84.4278,-59.7292,0.0000,7.7980,7.9610,1
110.0298,88.4030,-62.7643,0.0000,7.8190,7.9800,1
115.0312,92.3782,-65.7994,0.0000,7.8400,7.9990,1
120.0326,96.3535,-68.8345,0.0000,7.8610,8.0180,1
125.0341,100.3287,-71.8695,0.0000,7.8820,8.0370,1
130.0355,104.3040,-74.9045,0.0000,7.9030,8.0560,1
135.0369,108.2793,-77.9395,0.0000,7.9230,8.0750,1
140.0383,112.2547,-80.9745,0.0000,7.9440,8.0930,1
145.0397,116.2300,-84.0094,0.0000,7.9650,8.1120,1
150.0412,120.2053,-87.0444,0.0000,7.9860,8.1310,1
155.0426,124.1807,-90.0794,0.0000,8.0070,8.1500,1
160.0440,128.1560,-93.1143,0.0000,8.0280,8.1690,1
165.0455,132.1314,-96.1493,0.0000,8.0480,8.1880,1
170.0469,136.1067,-99.1842,0.0000,8.0690,8.2070,1
175.0484,140.0821,-102.2192,0.0000,8.0900,8.2260,1
180.0498,144.0574,-105.2542,0.0000,8.1110,8.2440,1
185.0512,148.0327,-108.2893,0.0000,8.1320,8.2630,1
190.0527,152.0080,-111.3243,0.0000,8.1530,8.2820,1
195.0541,155.9832,-114.3594,0.0000,8.1730,8.3010,1
200.0556,159.9585,-117.3945,0.0000,8.1940,8.3200,1
205.0570,163.9337,-120.4296,0.0000,8.2150,8.3390,1
210.0585,167.9089,-123.4648,0.0000,8.2360,8.3580,1
215.0599,171.8841,-126.5000,0.0000,8.2570,8.3770,1
220.0614,175.8592,-129.5352,0.0000,8.2780,8.3950,1
225.0628,179.8344,-132.5705,0.0000,8.2980,8.4140,1
230.0643,183.8095,-135.6058,0.0000,8.3190,8.4330,1
235.0657,187.7846,-138.6411,0.0000,8.3400,8.4520,1
240.0672,191.7597,-141.6764,0.0000,8.3610,8.4710,1
245.0686,195.7347,-144.7118,0.0000,8.3820,8.4900,1
250.0701,199.7098,-147.7471,0.0000,8.4030,8.5090,1
255.0715,203.6848,-150.7825,0.0000,8.4230,8.5270,1
260.0730,207.6598,-153.8179,0.0000,8.4440,8.5460,1
265.0744,211.6348,-156.8533,0.0000,8.4650,8.5650,1
270.0758,215.6098,-159.8888,0.0000,8.4860,8.5840,1
275.0773,219.5848,-162.9242,0.0000,8.5070,8.6030,1
280.0787,223.5598,-165.9597,0.0000,8.5280,8.6220,1
285.0802,227.5348,-168.9952,0.0000,8.5480,8.6410,1
290.0816,231.5097,-172.0306,0.0000,8.5690,8.6600,1
295.0831,235.4847,-175.0661,0.0000,8.5900,8.6780,1
300.0845,239.4596,-178.1016,0.0000,8.6110,8.6970,1
305.0860,243.4345,-181.1371,0.0000,8.6320,8.7160,1
310.0874,247.4095,-184.1726,0.0000,8.6520,8.7350,1
315.0888,251.3844,-187.2081,0.0000,8.6730,8.7540,1
320.0903,255.3593,-190.2437,0.0000,8.6940,8.7730,1
325.0917,259.3343,-193.2792,0.0000,8.7150,8.7920,1
330.0931,263.3092,-196.3147,0.0000,8.7360,8.8110,1
335.0946,267.2841,-199.3502,0.0000,8.7570,8.8290,1
340.0960,271.2590,-202.3857,0.0000,8.7770,8.8480,1
345.0974,275.2340,-205.4212,0.0000,8.7980,8.8670,1
350.0989,279.2089,-208.4567,0.0000,8.8190,8.8860,1
355.1003,283.1838,-211.4922,0.0000,8.8400,8.9050,1
360.1017,287.1588,-214.5276,0.0000,8.8610,8.9240,1
365.1031,291.1337,-217.5631,0.0000,8.8820,8.9430,1
370.1046,295.1087,-220.5986,0.0000,8.9020,8.9620,1
375.1060,299.0836,-223.6340,0.0000,8.9230,8.9800,1
380.1074,303.0586,-226.6694,0.0000,8.9440,8.9990,1
385.1088,307.0336,-229.7048,0.0000,8.9650,9.0180,1
390.1102,311.0085,-232.7402,0.0000,8.9860,9.0370,1
395.1116,314.9835,-235.7756,0.0000,9.0070,9.0560,1
400.1130,318.9585,-238.8110,0.0000,9.0270,9.0750,1
405.1144,322.9336,-241.8463,0.0000,9.0480,9.0940,1
410.1158,326.9086,-244.8816,0.0000,9.0690,9.1120,1
415.1172,330.8836,-247.9169,0.0000,9.0900,9.1310,1
420.1186,334.8587,-250.9522,0.0000,9.1110,9.1500,1
425.1200,338.8338,-253.9874,0.0000,9.1320,9.1690,1
430.1214,342.8089,-257.0226,0.0000,9.1520,9.1880,1
435.1228,346.7840,-260.0578,0.0000,9.1730,9.2070,1
440.1242,350.7591,-263.0929,0.0000,9.1940,9.2260,1
445.1255,354.7343,-266.1281,0.0000,9.2150,9.2450,1
450.1269,358.7094,-269.1631,0.0000,9.2360,9.2630,1
455.1283,362.6846,-272.1982,0.0000,9.2570,9.2820,1
460.1296,366.6598,-275.2332,0.0000,9.2770,9.3010,1
465.1310,370.6351,-278.2682,0.0000,9.2980,9.3200,1
470.1324,374.6103,-281.3031,0.0000,9.3190,9.3390,1
475.1337,378.5856,-284.3381,0.0000,9.3400,9.3580,1
480.1351,382.5609,-287.3729,0.0000,9.3610,9.3770,1
485.1364,386.5363,-290.4077,0.0000,9.3820,9.3960,1
490.1378,390.5116,-293.4425,0.0000,9.4020,9.4140,1
495.1391,394.4870,-296.4773,0.0000,9.4230,9.4330,1
500.1404,398.4625,-299.5119,0.0000,9.4440,9.4520,1
505.1418,402.4379,-302.5466,0.0000,9.4650,9.4710,1
510.1431,406.4134,-305.5812,0.0000,9.4860,9.4900,1
515.1444,410.3889,-308.6157,0.0000,9.5070,9.5090,1
520.1457,414.3645,-311.6502,0.0000,9.5270,9.5280,1
525.1470,418.3401,-314.6847,0.0000,9.5480,9.5470,1
530.1484,422.3157,-317.7190,0.0000,9.5690,9.5650,1
535.1497,426.2914,-320.7534,0.0000,9.5900,9.5840,1
540.1510,430.2670,-323.7877,0.0000,9.6110,9.6030,1
545.1523,434.2426,-326.8221,0.0000,9.6310,9.6220,1
550.1537,438.2177,-329.8575,0.0000,9.6520,9.6410,1
555.1554,442.1919,-332.8943,0.0000,9.6730,9.6600,1
560.1574,446.1649,-335.9333,0.0000,9.6940,9.6790,1
565.1598,450.1361,-338.9752,0.0000,9.7150,9.6970,1
570.1628,454.1054,-342.0207,0.0000,9.8170,9.8340,1
575.1663,458.0721,-345.0703,0.0000,10.0630,10.1740,1
580.1706,462.0360,-348.1249,0.0000,10.3080,10.5140,1
585.1752,465.9993,-351.1807,0.0000,10.5530,10.8550,1
590.1704,470.0168,-354.1493,0.0000,10.7990,11.1950,1
595.1500,474.1913,-356.8639,0.0000,11.1180,11.5490,1
600.1368,478.5710,-359.2485,0.0000,11.5770,11.9300,1
605.1415,483.0517,-361.4781,0.0000,12.0370,12.3100,1
610.1519,487.5362,-363.7125,0.0000,12.4960,12.6900,1
615.1624,492.0155,-365.9578,0.0000,12.9560,13.0700,1
620.1693,496.4949,-368.1949,0.0000,13.2070,13.3540,1
625.1689,500.9797,-370.4044,0.0000,13.3320,13.5790,1
630.1574,505.4850,-372.5462,0.0000,13.4570,13.8050,1
635.1342,510.0516,-374.5246,0.0000,13.5810,14.0310,1
640.1102,514.7246,-376.2348,0.0000,13.4990,13.8640,1
645.1164,519.5490,-377.5718,0.0000,13.3650,13.6010,1
650.1821,524.5466,-378.3988,0.0000,12.9620,13.2300,1
655.1672,529.5306,-378.2919,0.0000,12.0480,12.3930,1
660.1049,534.1989,-376.6832,0.0000,11.0190,11.4180,1
665.0867,537.9886,-373.4496,0.0000,10.4860,11.3400,1
669.8297,539.9616,-369.1364,0.0000,8.5330,8.9440,1
674.7012,539.9205,-364.2650,0.0000,8.2410,8.7290,1
679.8522,538.7728,-359.2435,0.0000,8.1300,8.4090,1
684.9060,537.3643,-354.3900,0.0000,8.0790,7.8700,1
689.8570,535.8902,-349.6635,0.0000,7.8010,7.7330,1
694.8159,534.3642,-344.9452,0.0000,7.5240,7.5960,1
699.7999,532.7965,-340.2142,0.0000,7.2460,7.4590,1
704.8002,531.1966,-335.4768,0.0000,7.2050,7.3800,1
709.8082,529.5737,-330.7391,0.0000,7.1710,7.3020,1
