s_arc,x,y,z,width_left,width_right,sector
0.0000,-2.4480,0.1259,0.0000,6.4760,6.1870,1
4.9998,-6.3047,3.3077,0.0000,6.4700,6.1900,1
9.9996,-10.1619,6.4890,0.0000,6.4650,6.1920,1
14.9995,-14.0194,9.6699,0.0000,6.4600,6.1950,1
19.9992,-17.8771,12.8504,0.0000,6.4550,6.1980,1
24.9990,-21.7351,16.0306,0.0000,6.4500,6.2000,1
29.9988,-25.5933,19.2105,0.0000,6.4440,6.2030,1
34.9986,-29.4516,22.3904,0.0000,6.4390,6.2060,1
39.9983,-33.3100,25.5701,0.0000,6.4340,6.2080,1
44.9981,-37.1684,28.7497,0.0000,6.4290,6.2110,1
49.9978,-41.0267,31.9294,0.0000,6.4240,6.2140,1
54.9975,-44.8851,35.1091,0.0000,6.4190,6.2160,1
59.9973,-48.7433,38.2890,0.0000,6.4130,6.2190,1
64.9970,-52.6013,41.4691,0.0000,6.4080,6.2220,1
69.9968,-56.4591,44.6495,0.0000,6.4030,6.2240,1
74.9965,-60.3166,47.8302,0.0000,6.3980,6.2270,1
79.9962,-64.1738,51.0113,0.0000,6.3930,6.2300,1
84.9960,-68.0307,54.1928,0.0000,6.3870,6.2320,1
89.9957,-71.8871,57.3748,0.0000,6.3820,6.2350,1
94.9955,-75.7431,60.5575,0.0000,6.3770,6.2380,1
99.9952,-79.5985,63.7407,0.0000,6.3720,6.2400,1
104.9950,-83.4535,66.9245,0.0000,6.3670,6.2430,1
109.9948,-87.3081,70.1088,0.0000,6.3620,6.2460,1
114.9946,-91.1624,73.2936,0.0000,6.3560,6.2480,1
119.9943,-95.0163,76.4787,0.0000,6.3510,6.2510,1
124.9941,-98.8699,79.6642,0.0000,6.3460,6.2540,1
129.9939,-102.7233,82.8500,0.0000,6.3410,6.2560,1
134.9937,-106.5766,86.0360,0.0000,6.3360,6.2590,1
139.9935,-110.4296,89.2222,0.0000,6.3300,6.2620,1
144.9933,-114.2827,92.4085,0.0000,6.3250,6.2640,1
149.9931,-118.1356,95.5948,0.0000,6.3200,6.2670,1
