s_arc,x,y,z,width_left,width_right,sector
0.0000,-1.9086,3.2387,0.0000,6.5910,7.1000,1
5.0026,3.0399,2.5051,0.0000,6.5910,7.1160,1
10.0053,7.9890,1.7752,0.0000,6.5910,7.1330,1
15.0079,12.9387,1.0488,0.0000,6.5930,7.1300,1
20.0106,17.8888,0.3259,0.0000,6.5950,7.1280,1
25.0133,22.8395,-0.3937,0.0000,6.5970,7.1260,1
30.0160,27.7906,-1.1103,0.0000,6.5990,7.1230,1
35.0187,32.7421,-1.8239,0.0000,6.6010,7.1210,1
40.0214,37.6941,-2.5348,0.0000,6.6020,7.1190,1
45.0241,42.6464,-3.2431,0.0000,6.6040,7.1170,1
50.0269,47.5991,-3.9490,0.0000,6.6060,7.1140,1
55.0296,52.5521,-4.6527,0.0000,6.6080,7.1120,1
60.0324,57.5054,-5.3542,0.0000,6.6100,7.1100,1
65.0351,62.4590,-6.0539,0.0000,6.6120,7.1080,1
70.0379,67.4129,-6.7518,0.0000,6.6140,7.1050,1
75.0407,72.3669,-7.4482,0.0000,6.6160,7.1030,1
80.0435,77.3212,-8.1431,0.0000,6.6180,7.1010,1
85.0462,82.2757,-8.8368,0.0000,6.6200,7.0990,1
90.0490,87.2303,-9.5295,0.0000,6.6220,7.0960,1
95.0518,92.1850,-10.2212,0.0000,6.6230,7.0940,1
100.0545,97.1398,-10.9122,0.0000,6.6250,7.0920,1
105.0573,102.0947,-11.6025,0.0000,6.6270,7.0890,1
110.0601,107.0497,-12.2923,0.0000,6.6290,7.0870,1
115.0628,112.0047,-12.9814,0.0000,6.6310,7.0850,1
120.0655,116.9598,-13.6701,0.0000,6.6330,7.0830,1
125.0683,121.9150,-14.3582,0.0000,6.6350,7.0800,1
130.0710,126.8703,-15.0458,0.0000,6.6370,7.0780,1
135.0737,131.8256,-15.7330,0.0000,6.6390,7.0760,1
140.0765,136.7809,-16.4198,0.0000,6.6410,7.0740,1
145.0792,141.7364,-17.1062,0.0000,6.6430,7.0710,1
150.0819,146.6918,-17.7923,0.0000,6.6440,7.0690,1
155.0846,151.6473,-18.4780,0.0000,6.6460,7.0670,1
160.0874,156.6029,-19.1635,0.0000,6.6480,7.0640,1
165.0901,161.5584,-19.8487,0.0000,6.6500,7.0620,1
170.0928,166.5140,-20.5337,0.0000,6.6520,7.0600,1
175.0956,171.4697,-21.2185,0.0000,6.6540,7.0580,1
180.0983,176.4254,-21.9031,0.0000,6.6560,7.0550,1
185.1010,181.3810,-22.5877,0.0000,6.6580,7.0530,1
190.1038,186.3367,-23.2721,0.0000,6.6600,7.0510,1
195.1065,191.2925,-23.9565,0.0000,6.6620,7.0490,1
200.1093,196.2482,-24.6409,0.0000,6.6640,7.0460,1
205.1120,201.2039,-25.3252,0.0000,6.6650,7.0440,1
210.1148,206.1596,-26.0096,0.0000,6.6670,7.0420,1
215.1176,211.1154,-26.6941,0.0000,6.6690,7.0390,1
220.1204,216.0711,-27.3787,0.0000,6.6710,7.0370,1
225.1232,221.0268,-28.0634,0.0000,6.6730,7.0350,1
230.1260,225.9825,-28.7483,0.0000,6.6750,7.0330,1
235.1288,230.9382,-29.4334,0.0000,6.6770,7.0300,1
240.1316,235.8939,-30.1187,0.0000,6.6790,7.0280,1
245.1344,240.8495,-30.8042,0.0000,6.6810,7.0260,1
250.1373,245.8051,-31.4899,0.0000,6.6830,7.0240,1
255.1401,250.7608,-32.1757,0.0000,6.6840,7.0210,1
260.1430,255.7164,-32.8618,0.0000,6.6860,7.0190,1
265.1459,260.6719,-33.5480,0.0000,6.6880,7.0170,1
270.1487,265.6275,-34.2344,0.0000,6.6900,7.0150,1
275.1516,270.5831,-34.9210,0.0000,6.6920,7.0120,1
280.1545,275.5386,-35.6077,0.0000,6.6940,7.0100,1
285.1574,280.4941,-36.2946,0.0000,6.6960,7.0080,1
290.1603,285.4496,-36.9816,0.0000,6.6980,7.0050,1
295.1632,290.4051,-37.6688,0.0000,6.7000,7.0030,1
300.1661,295.3606,-38.3561,0.0000,6.7020,7.0010,1
305.1691,300.3161,-39.0435,0.0000,6.7040,6.9990,1
310.1720,305.2715,-39.7311,0.0000,6.7050,6.9960,1
315.1749,310.2269,-40.4187,0.0000,6.7070,6.9940,1
320.1778,315.1824,-41.1065,0.0000,6.7090,6.9920,1
325.1808,320.1378,-41.7944,0.0000,6.7110,6.9900,1
330.1837,325.0932,-42.4824,0.0000,6.7130,6.9870,1
335.1866,330.0486,-43.1705,0.0000,6.7150,6.9850,1
340.1896,335.0039,-43.8587,0.0000,6.7170,6.9830,1
345.1925,339.9593,-44.5470,0.0000,6.7190,6.9800,1
350.1954,344.9147,-45.2353,0.0000,6.7210,6.9780,1
355.1984,349.8700,-45.9237,0.0000,6.7230,6.9760,1
360.2013,354.8253,-46.6122,0.0000,6.7250,6.9740,1
365.2042,359.7807,-47.3008,0.0000,6.7260,6.9710,1
370.2072,364.7360,-47.9894,0.0000,6.7280,6.9690,1
375.2101,369.6913,-48.6780,0.0000,6.7300,6.9670,1
380.2130,374.6466,-49.3667,0.0000,6.7320,6.9650,1
385.2159,379.6019,-50.0554,0.0000,6.7340,6.9620,1
390.2189,384.5571,-50.7442,0.0000,6.7360,6.9600,1
395.2218,389.5124,-51.4330,0.0000,6.7380,6.9580,1
400.2247,394.4677,-52.1218,0.0000,6.7400,6.9550,1
405.2276,399.4229,-52.8106,0.0000,6.7420,6.9530,1
410.2305,404.3782,-53.4995,0.0000,6.7440,6.9510,1
415.2334,409.3334,-54.1883,0.0000,6.7460,6.9490,1
420.2362,414.2886,-54.8771,0.0000,6.7470,6.9460,1
425.2391,419.2439,-55.5660,0.0000,6.7490,6.9440,1
430.2420,424.1991,-56.2548,0.0000,6.7510,6.9420,1
435.2448,429.1543,-56.9436,0.0000,6.7530,6.9400,1
440.2477,434.1095,-57.6323,0.0000,6.7550,6.9370,1
445.2505,439.0647,-58.3211,0.0000,6.7570,6.9350,1
450.2534,444.0199,-59.0098,0.0000,6.7590,6.9330,1
455.2562,448.9751,-59.6985,0.0000,6.7610,6.9310,1
460.2590,453.9303,-60.3871,0.0000,6.7630,6.9280,1
465.2618,458.8855,-61.0756,0.0000,6.7650,6.9260,1
470.2646,463.8407,-61.7641,0.0000,6.7670,6.9240,1
475.2674,468.7959,-62.4525,0.0000,6.7680,6.9210,1
480.2701,473.7510,-63.1409,0.0000,6.7700,6.9190,1
485.2729,478.7062,-63.8292,0.0000,6.7720,6.9170,1
490.2756,483.6614,-64.5174,0.0000,6.7740,6.9150,1
495.2783,488.6166,-65.2055,0.0000,6.7760,6.9120,1
500.2810,493.5717,-65.8935,0.0000,6.7780,6.9100,1
505.2837,498.5269,-66.5814,0.0000,6.7800,6.9080,1
510.2864,503.4821,-67.2693,0.0000,6.7820,6.9060,1
515.2891,508.4372,-67.9570,0.0000,6.7840,6.9030,1
520.2917,513.3924,-68.6447,0.0000,6.7860,6.9010,1
525.2943,518.3476,-69.3322,0.0000,6.7880,6.8990,1
530.2970,523.3027,-70.0197,0.0000,6.7890,6.8960,1
535.2996,528.2579,-70.7071,0.0000,6.7910,6.8940,1
540.3022,533.2131,-71.3945,0.0000,6.7930,6.8920,1
545.3048,538.1682,-72.0818,0.0000,6.7950,6.8900,1
550.3074,543.1234,-72.7690,0.0000,6.7970,6.8870,1
555.3100,548.0786,-73.4562,0.0000,6.7990,6.8850,1
560.3126,553.0338,-74.1433,0.0000,6.8010,6.8830,1
565.3152,557.9890,-74.8304,0.0000,6.8030,6.8810,1
570.3178,562.9442,-75.5174,0.0000,6.8050,6.8780,1
575.3204,567.8994,-76.2044,0.0000,6.8070,6.8760,1
580.3230,572.8546,-76.8913,0.0000,6.8090,6.8740,1
585.3256,577.8098,-77.5783,0.0000,6.8100,6.8710,1
590.3283,582.7650,-78.2652,0.0000,6.8120,6.8690,1
595.3309,587.7203,-78.9520,0.0000,6.8140,6.8670,1
600.3335,592.6755,-79.6389,0.0000,6.8160,6.8650,1
605.3361,597.6307,-80.3258,0.0000,6.8180,6.8620,1
610.3387,602.5860,-81.0126,0.0000,6.8200,6.8600,1
615.3414,607.5413,-81.6994,0.0000,6.8220,6.8580,1
620.3440,612.4966,-82.3863,0.0000,6.8240,6.8560,1
625.3467,617.4519,-83.0731,0.0000,6.8260,6.8530,1
630.3494,622.4072,-83.7600,0.0000,6.8280,6.8510,1
635.3521,627.3625,-84.4468,0.0000,6.8290,6.8490,1
640.3548,632.3178,-85.1337,0.0000,6.8310,6.8470,1
645.3575,637.2731,-85.8206,0.0000,6.8330,6.8440,1
