s_arc,x,y,z,width_left,width_right,sector
0.0000,0.1234,-0.7393,0.0000,5.6990,5.3880,1
4.9971,1.2266,-5.6130,0.0000,5.6690,5.3520,1
9.9937,2.3278,-10.4868,0.0000,5.6360,5.3140,1
14.9899,3.4191,-15.3624,0.0000,5.6030,5.2760,1
19.9856,4.4886,-20.2422,0.0000,5.5700,5.2380,1
24.9809,5.5245,-25.1289,0.0000,5.5370,5.2000,1
29.9763,6.5150,-30.0251,0.0000,5.5040,5.1620,1
34.9724,7.4481,-34.9334,0.0000,5.4710,5.1240,1
39.9705,8.3121,-39.8562,0.0000,5.4690,5.1470,1
44.9717,9.0970,-44.7955,0.0000,5.4770,5.1890,1
49.9760,9.8019,-49.7498,0.0000,5.4850,5.2320,1
54.9823,10.4288,-54.7168,0.0000,5.4930,5.2740,1
59.9899,10.9795,-59.6940,0.0000,5.5010,5.3170,1
64.9976,11.4560,-64.6790,0.0000,5.5090,5.3590,1
70.0043,11.8603,-69.6693,0.0000,5.5600,5.3780,1
75.0087,12.1941,-74.6626,0.0000,5.6590,5.3700,1
80.0101,12.4597,-79.6569,0.0000,5.7580,5.3620,1
85.0090,12.6596,-84.6518,0.0000,5.8560,5.3540,1
90.0062,12.7963,-89.6471,0.0000,5.9550,5.3450,1
95.0023,12.8726,-94.6426,0.0000,6.0520,5.3420,1
99.9978,12.8909,-99.6381,0.0000,6.0910,5.4920,1
104.9932,12.8541,-104.6333,0.0000,6.1300,5.6410,1
109.9887,12.7646,-109.6281,0.0000,6.1700,5.7900,1
114.9848,12.6251,-114.6222,0.0000,6.2090,5.9400,1
119.9815,12.4383,-119.6154,0.0000,6.2480,6.0890,1
124.9790,12.2066,-124.6075,0.0000,6.2860,6.2300,1
129.9773,11.9329,-129.5983,0.0000,6.2960,6.2040,1
134.9764,11.6196,-134.5877,0.0000,6.3060,6.1770,1
139.9763,11.2694,-139.5752,0.0000,6.3160,6.1510,1
144.9767,10.8850,-144.5609,0.0000,6.3260,6.1240,1
149.9777,10.4694,-149.5446,0.0000,6.3350,6.0980,1
154.9792,10.0259,-154.5264,0.0000,6.3450,6.0710,1
159.9811,9.5581,-159.5064,0.0000,6.3550,6.0450,1
164.9834,9.0693,-164.4847,0.0000,6.3490,6.0540,1
169.9858,8.5630,-169.4614,0.0000,6.3330,6.0860,1
174.9882,8.0426,-174.4367,0.0000,6.3160,6.1170,1
179.9903,7.5114,-179.4105,0.0000,6.3000,6.1490,1
184.9920,6.9730,-184.3831,0.0000,6.2840,6.1800,1
189.9928,6.4306,-189.3544,0.0000,6.2680,6.2110,1
194.9926,5.8879,-194.3247,0.0000,6.2510,6.2430,1
199.9911,5.3481,-199.2939,0.0000,6.2350,6.2740,1
204.9880,4.8147,-204.2623,0.0000,6.2190,6.3060,1
209.9831,4.2911,-209.2298,0.0000,6.2020,6.3370,1
214.9767,3.7754,-214.1967,0.0000,6.1950,6.3720,1
219.9719,3.2409,-219.1633,0.0000,6.2060,6.4140,1
224.9732,2.6532,-224.1299,0.0000,6.2880,6.3610,1
229.9857,1.9802,-229.0970,0.0000,6.3910,6.2790,1
235.0052,1.2949,-234.0696,0.0000,6.4950,6.1960,1
240.0163,0.8283,-239.0589,0.0000,6.5530,6.2660,1
245.0343,0.8239,-244.0769,0.0000,6.5570,6.5260,1
250.0747,1.4825,-249.0741,0.0000,6.0720,6.8260,1
255.0482,2.8942,-253.8430,0.0000,6.0510,6.8440,1
259.9022,5.1311,-258.1508,0.0000,6.2160,6.8140,1
264.6883,8.2561,-261.7759,0.0000,6.3600,6.8340,1
269.5678,12.1623,-264.7001,0.0000,6.5470,6.7740,1
274.6009,16.5969,-267.0806,0.0000,6.5180,6.7270,1
279.7146,21.3035,-269.0800,0.0000,6.3790,6.6880,1
284.8271,26.1016,-270.8455,0.0000,6.2390,6.6490,1
289.9218,30.9192,-272.5025,0.0000,6.1000,6.6100,1
294.9800,35.6931,-274.1744,0.0000,5.9610,6.5700,1
299.9857,40.3599,-275.9849,0.0000,5.8210,6.5310,1
304.9366,44.8562,-278.0573,0.0000,5.9990,6.1430,1
309.8569,49.1186,-280.5153,0.0000,6.1840,5.8610,1
314.8047,53.0826,-283.4763,0.0000,6.3610,6.0720,1
319.7958,56.6633,-286.9532,0.0000,6.6080,6.2850,1
324.7890,59.7589,-290.8711,0.0000,7.4950,6.8490,1
329.7505,62.2670,-295.1519,0.0000,7.8420,6.7060,1
334.6652,64.0850,-299.7180,0.0000,7.2680,6.8240,1
339.5476,65.1106,-304.4915,0.0000,6.9850,6.9270,1
344.4524,65.2413,-309.3945,0.0000,6.8860,6.9650,1
349.4682,64.3917,-314.3379,0.0000,6.6670,6.9170,1
354.5909,62.6122,-319.1416,0.0000,6.6130,6.8450,1
359.7336,60.0185,-323.5822,0.0000,7.0820,6.6470,1
364.8023,56.7265,-327.4365,0.0000,7.2550,6.6650,1
369.7758,52.8601,-330.5648,0.0000,6.9370,6.8460,1
