s_arc,x,y,z,width_left,width_right,sector
0.0000,-0.3201,1.0877,0.0000,5.9320,5.7390,1
4.9984,0.1683,6.0622,0.0000,5.9290,5.7350,1
9.9967,0.6561,11.0366,0.0000,5.9260,5.7310,1
14.9950,1.1435,16.0111,0.0000,5.9230,5.7270,1
19.9932,1.6305,20.9855,0.0000,5.9200,5.7230,1
24.9913,2.1171,25.9599,0.0000,5.9170,5.7190,1
29.9894,2.6034,30.9342,0.0000,5.9140,5.7150,1
34.9874,3.0894,35.9086,0.0000,5.9110,5.7110,1
39.9854,3.5751,40.8829,0.0000,5.9080,5.7070,1
44.9833,4.0606,45.8572,0.0000,5.9050,5.7030,1
49.9811,4.5459,50.8314,0.0000,5.9020,5.7000,1
54.9790,5.0311,55.8056,0.0000,5.8990,5.6960,1
59.9767,5.5162,60.7798,0.0000,5.8960,5.6920,1
64.9745,6.0012,65.7540,0.0000,5.8930,5.6880,1
69.9722,6.4862,70.7281,0.0000,5.8900,5.6840,1
74.9699,6.9713,75.7022,0.0000,5.8870,5.6800,1
79.9675,7.4565,80.6762,0.0000,5.8840,5.6760,1
84.9652,7.9417,85.6502,0.0000,5.8810,5.6720,1
89.9628,8.4272,90.6242,0.0000,5.8780,5.6680,1
94.9603,8.9128,95.5981,0.0000,5.8750,5.6640,1
99.9579,9.3987,100.5720,0.0000,5.8720,5.6600,1
104.9555,9.8849,105.5459,0.0000,5.8690,5.6560,1
109.9530,10.3714,110.5197,0.0000,5.8660,5.6520,1
114.9505,10.8582,115.4934,0.0000,5.8630,5.6480,1
119.9480,11.3455,120.4671,0.0000,5.8600,5.6440,1
124.9456,11.8333,125.4408,0.0000,5.8580,5.6400,1
129.9431,12.3215,130.4144,0.0000,5.8550,5.6360,1
134.9406,12.8103,135.3880,0.0000,5.8520,5.6320,1
139.9381,13.2996,140.3615,0.0000,5.8490,5.6280,1
144.9357,13.7896,145.3350,0.0000,5.8460,5.6240,1
149.9332,14.2802,150.3084,0.0000,5.8430,5.6200,1
154.9308,14.7716,155.2817,0.0000,5.8400,5.6160,1
159.9284,15.2637,160.2550,0.0000,5.8370,5.6120,1
164.9260,15.7566,165.2283,0.0000,5.8340,5.6080,1
169.9236,16.2503,170.2015,0.0000,5.8310,5.6040,1
174.9213,16.7448,175.1746,0.0000,5.8280,5.6000,1
179.9190,17.2403,180.1477,0.0000,5.8250,5.5970,1
184.9167,17.7368,185.1207,0.0000,5.8220,5.5930,1
189.9145,18.2342,190.0936,0.0000,5.8190,5.5890,1
194.9123,18.7324,195.0665,0.0000,5.8160,5.5850,1
199.9101,19.2314,200.0394,0.0000,5.8130,5.5810,1
204.9080,19.7310,205.0122,0.0000,5.8100,5.5770,1
209.9058,20.2312,209.9850,0.0000,5.8070,5.5730,1
214.9037,20.7319,214.9577,0.0000,5.8040,5.5690,1
219.9017,21.2330,219.9305,0.0000,5.8010,5.5650,1
224.8996,21.7345,224.9032,0.0000,5.7980,5.5610,1
229.8976,22.2361,229.8759,0.0000,5.7950,5.5570,1
234.8956,22.7380,234.8487,0.0000,5.7920,5.5530,1
239.8936,23.2399,239.8214,0.0000,5.7890,5.5490,1
244.8916,23.7418,244.7941,0.0000,5.7860,5.5450,1
249.8896,24.2435,249.7669,0.0000,5.7830,5.5410,1
254.8876,24.7451,254.7397,0.0000,5.7800,5.5370,1
259.8857,25.2464,259.7125,0.0000,5.7770,5.5330,1
264.8837,25.7474,264.6854,0.0000,5.7740,5.5290,1
269.8818,26.2479,269.6583,0.0000,5.7710,5.5250,1
274.8798,26.7479,274.6313,0.0000,5.7680,5.5210,1
279.8778,27.2472,279.6043,0.0000,5.7650,5.5170,1
284.8759,27.7459,284.5774,0.0000,5.7620,5.5130,1
289.8739,28.2437,289.5506,0.0000,5.7590,5.5090,1
294.8719,28.7407,294.5238,0.0000,5.7560,5.5050,1
299.8699,29.2368,299.4972,0.0000,5.7530,5.5010,1
304.8679,29.7317,304.4706,0.0000,5.7500,5.4970,1
309.8659,30.2256,309.4441,0.0000,5.7460,5.4950,1
314.8639,30.7182,314.4178,0.0000,5.7260,5.5140,1
319.8618,31.2095,319.3915,0.0000,5.7060,5.5340,1
324.8598,31.6995,324.3654,0.0000,5.6860,5.5530,1
329.8577,32.1880,329.3394,0.0000,5.6660,5.5720,1
334.8556,32.6749,334.3135,0.0000,5.6460,5.5920,1
339.8535,33.1601,339.2877,0.0000,5.6260,5.6110,1
344.8513,33.6437,344.2622,0.0000,5.6060,5.6310,1
349.8491,34.1254,349.2367,0.0000,5.5860,5.6500,1
354.8469,34.6052,354.2114,0.0000,5.5660,5.6690,1
359.8447,35.0830,359.1863,0.0000,5.5450,5.6890,1
364.8424,35.5588,364.1613,0.0000,5.5250,5.7080,1
369.8402,36.0324,369.1366,0.0000,5.5050,5.7280,1
374.8378,36.5041,374.1119,0.0000,5.4850,5.7470,1
379.8355,36.9737,379.0875,0.0000,5.4680,5.7450,1
384.8332,37.4413,384.0632,0.0000,5.4540,5.7280,1
389.8308,37.9070,389.0391,0.0000,5.4400,5.7120,1
394.8284,38.3709,394.0151,0.0000,5.4250,5.6950,1
399.8260,38.8328,398.9913,0.0000,5.4110,5.6790,1
404.8236,39.2930,403.9677,0.0000,5.3960,5.6620,1
409.8211,39.7513,408.9442,0.0000,5.3820,5.6460,1
414.8187,40.2080,413.9208,0.0000,5.3670,5.6300,1
419.8162,40.6629,418.8976,0.0000,5.3530,5.6130,1
424.8137,41.1162,423.8745,0.0000,5.3380,5.5970,1
429.8112,41.5678,428.8516,0.0000,5.3240,5.5800,1
434.8088,42.0179,433.8288,0.0000,5.3090,5.5640,1
439.8063,42.4664,438.8061,0.0000,5.2950,5.5470,1
444.8038,42.9135,443.7836,0.0000,5.2800,5.5310,1
449.8013,43.3590,448.7612,0.0000,5.2660,5.5140,1
454.7988,43.8032,453.7389,0.0000,5.2510,5.4980,1
459.7962,44.2459,458.7168,0.0000,5.2370,5.4820,1
464.7937,44.6873,463.6947,0.0000,5.2220,5.4650,1
469.7912,45.1274,468.6728,0.0000,5.2080,5.4490,1
474.7887,45.5662,473.6510,0.0000,5.1930,5.4320,1
479.7862,46.0038,478.6293,0.0000,5.1790,5.4160,1
484.7837,46.4401,483.6077,0.0000,5.1640,5.3990,1
489.7812,46.8754,488.5862,0.0000,5.1500,5.3830,1
494.7787,47.3095,493.5648,0.0000,5.1370,5.3590,1
499.7762,47.7425,498.5436,0.0000,5.1300,5.3170,1
504.7738,48.1745,503.5224,0.0000,5.1220,5.2750,1
509.7713,48.6055,508.5013,0.0000,5.1140,5.2330,1
514.7688,49.0355,513.4803,0.0000,5.1060,5.1900,1
519.7664,49.4646,518.4594,0.0000,5.0980,5.1480,1
524.7639,49.8929,523.4385,0.0000,5.0900,5.1060,1
529.7615,50.3202,528.4178,0.0000,5.0820,5.0640,1
534.7591,50.7468,533.3971,0.0000,5.0750,5.0210,1
539.7567,51.1726,538.3766,0.0000,5.0670,4.9790,1
544.7543,51.5977,543.3561,0.0000,5.0590,4.9370,1
549.7519,52.0221,548.3356,0.0000,5.0580,4.9100,1
554.7495,52.4458,553.3153,0.0000,5.0630,4.8960,1
559.7472,52.8689,558.2950,0.0000,5.0670,4.8830,1
564.7448,53.2915,563.2747,0.0000,5.0550,4.8760,1
569.7425,53.7135,568.2545,0.0000,5.0430,4.8680,1
574.7402,54.1350,573.2344,0.0000,5.0300,4.8610,1
579.7379,54.5561,578.2144,0.0000,5.0180,4.8530,1
584.7356,54.9767,583.1944,0.0000,5.0060,4.8450,1
589.7334,55.3970,588.1744,0.0000,4.9930,4.8380,1
594.7311,55.8169,593.1545,0.0000,4.9810,4.8300,1
599.7289,56.2365,598.1346,0.0000,4.9690,4.8230,1
604.7267,56.6559,603.1148,0.0000,4.9560,4.8150,1
609.7245,57.0750,608.0950,0.0000,4.9440,4.8080,1
614.7224,57.4939,613.0753,0.0000,4.9320,4.8000,1
619.7202,57.9127,618.0556,0.0000,4.9190,4.7920,1
624.7181,58.3314,623.0359,0.0000,4.9070,4.7850,1
629.7160,58.7500,628.0162,0.0000,4.8950,4.7770,1
