s_arc,x,y,z,width_left,width_right,sector
0.0000,0.0572,-0.0247,0.0000,6.7660,6.9150,1
4.9997,-4.8352,-1.0552,0.0000,6.6910,6.9050,1
9.9995,-9.7274,-2.0865,0.0000,6.6170,6.8940,1
14.9992,-14.6193,-3.1191,0.0000,6.5430,6.8840,1
19.9990,-19.5109,-4.1535,0.0000,6.4970,6.8760,1
24.9987,-24.4020,-5.1901,0.0000,6.5070,6.8750,1
29.9985,-29.2925,-6.2296,0.0000,6.5160,6.8740,1
34.9982,-34.1823,-7.2723,0.0000,6.5260,6.8730,1
39.9979,-39.0713,-8.3187,0.0000,6.5360,6.8720,1
44.9975,-43.9593,-9.3693,0.0000,6.5450,6.8710,1
49.9971,-48.8464,-10.4239,0.0000,6.5550,6.8690,1
54.9967,-53.7327,-11.4822,0.0000,6.5640,6.8680,1
59.9963,-58.6182,-12.5440,0.0000,6.5740,6.8670,1
64.9958,-63.5030,-13.6090,0.0000,6.5840,6.8660,1
69.9953,-68.3871,-14.6771,0.0000,6.5930,6.8650,1
74.9948,-73.2705,-15.7480,0.0000,6.6030,6.8630,1
79.9943,-78.1534,-16.8214,0.0000,6.6120,6.8620,1
84.9938,-83.0358,-17.8971,0.0000,6.6220,6.8610,1
89.9933,-87.9177,-18.9748,0.0000,6.6310,6.8600,1
94.9927,-92.7993,-20.0544,0.0000,6.6410,6.8590,1
99.9922,-97.6804,-21.1355,0.0000,6.6510,6.8570,1
104.9917,-102.5613,-22.2179,0.0000,6.6600,6.8560,1
109.9911,-107.4419,-23.3014,0.0000,6.6700,6.8550,1
114.9906,-112.3224,-24.3858,0.0000,6.6790,6.8540,1
119.9900,-117.2027,-25.4707,0.0000,6.6890,6.8530,1
124.9894,-122.0829,-26.5560,0.0000,6.6980,6.8510,1
129.9889,-126.9631,-27.6414,0.0000,6.7080,6.8500,1
134.9883,-131.8433,-28.7266,0.0000,6.7180,6.8490,1
139.9878,-136.7236,-29.8115,0.0000,6.7270,6.8480,1
144.9872,-141.6041,-30.8957,0.0000,6.7370,6.8470,1
149.9866,-146.4847,-31.9791,0.0000,6.7460,6.8460,1
