s_arc,x,y,z,width_left,width_right,sector
0.0000,3.4394,-0.4953,0.0000,6.5360,6.5560,1
5.0005,6.3708,3.5558,0.0000,6.5370,6.5580,1
10.0008,9.3019,7.6069,0.0000,6.5380,6.5600,1
15.0010,12.2329,11.6581,0.0000,6.5390,6.5620,1
20.0011,15.1636,15.7093,0.0000,6.5400,6.5640,1
25.0012,18.0941,19.7605,0.0000,6.5410,6.5660,1
30.0012,21.0244,23.8118,0.0000,6.5430,6.5680,1
35.0011,23.9545,27.8632,0.0000,6.5440,6.5710,1
40.0010,26.8845,31.9146,0.0000,6.5450,6.5730,1
45.0008,29.8144,35.9661,0.0000,6.5460,6.5750,1
50.0007,32.7441,40.0176,0.0000,6.5470,6.5770,1
55.0005,35.6738,44.0692,0.0000,6.5480,6.5790,1
60.0004,38.6034,48.1209,0.0000,6.5490,6.5810,1
65.0003,41.5330,52.1726,0.0000,6.5500,6.5830,1
70.0002,44.4625,56.2244,0.0000,6.5510,6.5850,1
75.0002,47.3920,60.2763,0.0000,6.5520,6.5870,1
80.0002,50.3214,64.3282,0.0000,6.5530,6.5890,1
85.0002,53.2509,68.3802,0.0000,6.5550,6.5910,1
90.0002,56.1803,72.4323,0.0000,6.5560,6.5940,1
95.0003,59.1098,76.4843,0.0000,6.5570,6.5960,1
100.0005,62.0392,80.5365,0.0000,6.5580,6.5980,1
105.0006,64.9686,84.5886,0.0000,6.5590,6.6000,1
110.0008,67.8980,88.6408,0.0000,6.5600,6.6020,1
115.0010,70.8274,92.6930,0.0000,6.5610,6.6040,1
120.0012,73.7568,96.7453,0.0000,6.5620,6.6060,1
125.0014,76.6863,100.7975,0.0000,6.5630,6.6080,1
130.0016,79.6157,104.8498,0.0000,6.5640,6.6100,1
135.0019,82.5452,108.9020,0.0000,6.5650,6.6120,1
140.0022,85.4746,112.9543,0.0000,6.5670,6.6140,1
145.0025,88.4042,117.0066,0.0000,6.5680,6.6160,1
150.0027,91.3337,121.0588,0.0000,6.5690,6.6190,1
155.0030,94.2632,125.1111,0.0000,6.5700,6.6210,1
160.0033,97.1928,129.1633,0.0000,6.5710,6.6230,1
