s_arc,x,y,z,width_left,width_right,sector
0.0000,-0.2234,2.0758,0.0000,6.8530,6.6870,1
4.9987,-2.8867,6.3059,0.0000,6.8480,6.6930,1
9.9974,-5.5486,10.5369,0.0000,6.8430,6.6980,1
14.9961,-8.2092,14.7687,0.0000,6.8390,6.7040,1
19.9948,-10.8686,19.0012,0.0000,6.8340,6.7090,1
24.9934,-13.5268,23.2345,0.0000,6.8290,6.7150,1
29.9921,-16.1840,27.4684,0.0000,6.8250,6.7200,1
34.9907,-18.8401,31.7029,0.0000,6.8200,6.7250,1
39.9894,-21.4952,35.9381,0.0000,6.8150,6.7310,1
44.9880,-24.1495,40.1738,0.0000,6.8110,6.7360,1
49.9866,-26.8029,44.4100,0.0000,6.8060,6.7420,1
54.9852,-29.4555,48.6467,0.0000,6.8010,6.7470,1
59.9838,-32.1075,52.8839,0.0000,6.7970,6.7530,1
64.9824,-34.7588,57.1214,0.0000,6.7920,6.7580,1
69.9810,-37.4095,61.3592,0.0000,6.7870,6.7630,1
74.9796,-40.0598,65.5974,0.0000,6.7830,6.7690,1
79.9782,-42.7096,69.8359,0.0000,6.7780,6.7740,1
84.9768,-45.3590,74.0745,0.0000,6.7730,6.7800,1
89.9753,-48.0082,78.3133,0.0000,6.7690,6.7850,1
94.9739,-50.6571,82.5523,0.0000,6.7640,6.7910,1
99.9725,-53.3058,86.7914,0.0000,6.7590,6.7960,1
104.9710,-55.9544,91.0306,0.0000,6.7550,6.8020,1
109.9696,-58.6030,95.2697,0.0000,6.7500,6.8070,1
114.9681,-61.2516,99.5089,0.0000,6.7450,6.8120,1
119.9666,-63.9003,103.7479,0.0000,6.7410,6.8180,1
124.9652,-66.5492,107.9869,0.0000,6.7420,6.8220,1
129.9637,-69.1983,112.2257,0.0000,6.7480,6.8250,1
134.9622,-71.8477,116.4644,0.0000,6.7540,6.8290,1
139.9608,-74.4974,120.7028,0.0000,6.7600,6.8320,1
144.9593,-77.1476,124.9409,0.0000,6.7650,6.8350,1
149.9578,-79.7982,129.1787,0.0000,6.7710,6.8380,1
154.9563,-82.4495,133.4162,0.0000,6.7770,6.8420,1
159.9548,-85.1013,137.6533,0.0000,6.7830,6.8450,1
164.9534,-87.7538,141.8899,0.0000,6.7890,6.8480,1
169.9519,-90.4071,146.1261,0.0000,6.7950,6.8520,1
174.9504,-93.0612,150.3618,0.0000,6.8000,6.8550,1
179.9489,-95.7162,154.5969,0.0000,6.8060,6.8580,1
184.9474,-98.3722,158.8314,0.0000,6.8120,6.8610,1
189.9459,-101.0292,163.0652,0.0000,6.8180,6.8650,1
194.9444,-103.6872,167.2984,0.0000,6.8240,6.8680,1
199.9429,-106.3462,171.5310,0.0000,6.8290,6.8710,1
204.9414,-109.0061,175.7630,0.0000,6.8350,6.8750,1
209.9400,-111.6668,179.9946,0.0000,6.8410,6.8780,1
214.9385,-114.3281,184.2258,0.0000,6.8470,6.8810,1
219.9371,-116.9900,188.4566,0.0000,6.8530,6.8840,1
224.9357,-119.6523,192.6873,0.0000,6.8590,6.8880,1
229.9343,-122.3149,196.9177,0.0000,6.8640,6.8910,1
234.9329,-124.9778,201.1480,0.0000,6.8700,6.8940,1
239.9316,-127.6407,205.3783,0.0000,6.8760,6.8980,1
244.9303,-130.3037,209.6086,0.0000,6.8820,6.9010,1
249.9291,-132.9665,213.8391,0.0000,6.8880,6.9040,1
254.9279,-135.6291,218.0698,0.0000,6.8930,6.9070,1
259.9267,-138.2914,222.3007,0.0000,6.8990,6.9110,1
264.9256,-140.9533,226.5319,0.0000,6.9050,6.9140,1
269.9245,-143.6146,230.7636,0.0000,6.9110,6.9170,1
274.9235,-146.2752,234.9957,0.0000,6.9170,6.9210,1
279.9226,-148.9350,239.2284,0.0000,6.9230,6.9240,1
284.9217,-151.5940,243.4618,0.0000,6.9280,6.9270,1
289.9209,-154.2520,247.6958,0.0000,6.9340,6.9300,1
294.9201,-156.9088,251.9306,0.0000,6.9400,6.9340,1
299.9195,-159.5645,256.1662,0.0000,6.9460,6.9370,1
304.9188,-162.2185,260.4030,0.0000,6.9520,6.9400,1
309.9179,-164.8684,264.6420,0.0000,6.9580,6.9440,1
314.9165,-167.5116,268.8845,0.0000,6.9630,6.9470,1
319.9141,-170.1452,273.1319,0.0000,6.9640,6.9430,1
324.9106,-172.7664,277.3856,0.0000,6.9620,6.9360,1
329.9056,-175.3724,281.6469,0.0000,6.9590,6.9280,1
334.8996,-177.9674,285.9138,0.0000,6.9570,6.9210,1
339.8945,-180.5659,290.1796,0.0000,6.9550,6.9140,1
344.8920,-183.1832,294.4369,0.0000,6.9520,6.9060,1
349.8942,-185.8346,298.6785,0.0000,6.9500,6.8990,1
354.9034,-188.5356,302.8972,0.0000,6.9480,6.8910,1
359.9207,-191.2858,307.0937,0.0000,6.9450,6.8840,1
364.9308,-193.9439,311.3404,0.0000,6.9430,6.8770,1
369.9258,-196.2938,315.7482,0.0000,7.0260,6.8490,1
374.9105,-198.1004,320.3940,0.0000,7.6060,6.7070,1
