s_arc,x,y,z,width_left,width_right,sector
0.0000,-1.2082,-0.9346,0.0000,5.9700,6.1670,1
4.9973,-6.0341,-2.2319,0.0000,5.9630,6.1590,1
9.9946,-10.8601,-3.5291,0.0000,5.9570,6.1510,1
14.9918,-15.6861,-4.8263,0.0000,5.9510,6.1430,1
19.9891,-20.5121,-6.1235,0.0000,5.9450,6.1350,1
24.9863,-25.3380,-7.4206,0.0000,5.9380,6.1270,1
29.9836,-30.1639,-8.7178,0.0000,5.9320,6.1190,1
34.9808,-34.9898,-10.0150,0.0000,5.9260,6.1110,1
39.9779,-39.8157,-11.3123,0.0000,5.9200,6.1030,1
44.9751,-44.6414,-12.6097,0.0000,5.9130,6.0950,1
49.9722,-49.4672,-13.9071,0.0000,5.9070,6.0870,1
54.9692,-54.2928,-15.2046,0.0000,5.9010,6.0790,1
59.9663,-59.1185,-16.5023,0.0000,5.8950,6.0710,1
64.9633,-63.9440,-17.7999,0.0000,5.8880,6.0630,1
69.9602,-68.7695,-19.0977,0.0000,5.8820,6.0560,1
74.9572,-73.5950,-20.3955,0.0000,5.8760,6.0480,1
79.9541,-78.4204,-21.6934,0.0000,5.8690,6.0400,1
84.9510,-83.2458,-22.9913,0.0000,5.8630,6.0320,1
89.9479,-88.0712,-24.2894,0.0000,5.8570,6.0240,1
94.9448,-92.8965,-25.5874,0.0000,5.8510,6.0160,1
99.9416,-97.7218,-26.8856,0.0000,5.8440,6.0080,1
104.9385,-102.5471,-28.1837,0.0000,5.8380,6.0000,1
109.9353,-107.3723,-29.4820,0.0000,5.8320,5.9920,1
114.9321,-112.1975,-30.7803,0.0000,5.8260,5.9840,1
119.9289,-117.0227,-32.0786,0.0000,5.8190,5.9760,1
124.9257,-121.8479,-33.3770,0.0000,5.8130,5.9680,1
129.9225,-126.6730,-34.6754,0.0000,5.8070,5.9600,1
134.9193,-131.4982,-35.9738,0.0000,5.8010,5.9520,1
139.9161,-136.3233,-37.2723,0.0000,5.7940,5.9450,1
144.9129,-141.1484,-38.5708,0.0000,5.7880,5.9370,1
149.9097,-145.9735,-39.8694,0.0000,5.7820,5.9290,1
154.9065,-150.7986,-41.1680,0.0000,5.7760,5.9210,1
159.9033,-155.6237,-42.4666,0.0000,5.7690,5.9130,1
164.9001,-160.4488,-43.7652,0.0000,5.7630,5.9050,1
169.8969,-165.2740,-45.0639,0.0000,5.7570,5.8970,1
174.8938,-170.0991,-46.3625,0.0000,5.7510,5.8890,1
179.8906,-174.9242,-47.6612,0.0000,5.7440,5.8810,1
184.8875,-179.7493,-48.9599,0.0000,5.7380,5.8730,1
189.8843,-184.5745,-50.2586,0.0000,5.7320,5.8650,1
194.8812,-189.3997,-51.5573,0.0000,5.7260,5.8570,1
