s_arc,x,y,z,width_left,width_right,sector
0.0000,3.1051,0.1421,0.0000,7.4330,7.1850,1
5.0017,6.3920,-3.6280,0.0000,7.4340,7.1410,1
10.0033,9.6729,-7.4031,0.0000,7.4350,7.1430,1
15.0046,12.9480,-11.1829,0.0000,7.4360,7.1440,1
20.0058,16.2179,-14.9670,0.0000,7.4360,7.1460,1
25.0069,19.4832,-18.7550,0.0000,7.4370,7.1480,1
30.0078,22.7441,-22.5465,0.0000,7.4380,7.1490,1
35.0087,26.0013,-26.3411,0.0000,7.4380,7.1510,1
40.0095,29.2552,-30.1385,0.0000,7.4390,7.1530,1
45.0102,32.5062,-33.9383,0.0000,7.4400,7.1540,1
50.0109,35.7549,-37.7400,0.0000,7.4400,7.1560,1
55.0115,39.0017,-41.5433,0.0000,7.4410,7.1580,1
60.0122,42.2470,-45.3478,0.0000,7.4420,7.1600,1
65.0128,45.4915,-49.1530,0.0000,7.4420,7.1610,1
70.0135,48.7354,-52.9587,0.0000,7.4430,7.1630,1
75.0141,51.9794,-56.7644,0.0000,7.4440,7.1650,1
80.0148,55.2238,-60.5697,0.0000,7.4440,7.1660,1
85.0155,58.4691,-64.3744,0.0000,7.4450,7.1680,1
90.0163,61.7151,-68.1784,0.0000,7.4460,7.1700,1
95.0170,64.9620,-71.9818,0.0000,7.4460,7.1710,1
100.0179,68.2096,-75.7846,0.0000,7.4470,7.1730,1
105.0187,71.4578,-79.5869,0.0000,7.4480,7.1750,1
110.0196,74.7066,-83.3887,0.0000,7.4480,7.1760,1
115.0205,77.9560,-87.1901,0.0000,7.4490,7.1780,1
120.0214,81.2059,-90.9911,0.0000,7.4490,7.1800,1
125.0223,84.4561,-94.7918,0.0000,7.4500,7.1820,1
130.0233,87.7067,-98.5922,0.0000,7.4510,7.1830,1
135.0243,90.9576,-102.3924,0.0000,7.4510,7.1850,1
140.0253,94.2088,-106.1924,0.0000,7.4520,7.1870,1
145.0263,97.4601,-109.9922,0.0000,7.4530,7.1880,1
150.0273,100.7116,-113.7920,0.0000,7.4530,7.1900,1
155.0283,103.9631,-117.5917,0.0000,7.4540,7.1920,1
160.0294,107.2146,-121.3915,0.0000,7.4550,7.1930,1
165.0304,110.4661,-125.1913,0.0000,7.4550,7.1950,1
170.0315,113.7174,-128.9912,0.0000,7.4560,7.1970,1
175.0326,116.9686,-132.7913,0.0000,7.4570,7.1990,1
180.0336,120.2196,-136.5915,0.0000,7.4570,7.2000,1
185.0347,123.4705,-140.3918,0.0000,7.4580,7.2020,1
190.0358,126.7211,-144.1924,0.0000,7.4590,7.2040,1
