s_arc,x,y,z,width_left,width_right,sector
0.0,166.4495,-60.737,0.0,7.5,7.5,1
5.0,169.1983,-63.9448,0.0,7.5,7.5,1
10.0,172.4502,-67.7428,0.0,7.5,7.5,1
15.0,175.7004,-71.5424,0.0,7.5,7.5,1
20.0,178.9497,-75.3426,0.0,7.5,7.5,1
25.0,182.1979,-79.1438,0.0,7.5,7.5,1
30.0,185.4439,-82.9469,0.0,7.5,7.5,1
35.0,188.688,-86.7516,0.0,7.5,7.5,1
40.0,191.9307,-90.5575,0.0,7.5,7.5,1
45.0,195.1755,-94.3617,0.0,7.5,7.5,1
50.0,198.4224,-98.1639,0.0,7.5,7.5,1
55.0,201.6718,-101.9641,0.0,7.5,7.5,1
60.0,204.9212,-105.7643,0.0,7.5,7.5,1
65.0,208.1704,-109.5647,0.0,7.5,7.5,1
70.0,211.4201,-113.3646,0.0,7.5,7.5,1
75.0,214.6706,-117.1639,0.0,7.5,7.5,1
80.0,217.9219,-120.9624,0.0,7.5,7.5,1
85.0,221.1731,-124.7611,0.0,7.5,7.5,1
90.0,224.4234,-128.5604,0.0,7.5,7.5,1
95.0,227.6735,-132.3601,0.0,7.5,7.5,1
100.0,230.9236,-136.1596,0.0,7.5,7.5,1
105.0,234.1752,-139.9579,0.0,7.5,7.5,1
110.0,237.4282,-143.7551,0.0,7.5,7.5,1
115.0,240.683,-147.5506,0.0,7.5,7.5,1
120.0,243.9388,-151.3453,0.0,7.5,7.5,1
125.0,247.1949,-155.1397,0.0,7.5,7.5,1
130.0,250.4506,-158.9345,0.0,7.5,7.5,1
135.0,253.7058,-162.7297,0.0,7.5,7.5,1
140.0,256.9611,-166.5249,0.0,7.5,7.5,1
145.0,260.2166,-170.3199,0.0,7.5,7.5,1
150.0,263.4718,-174.115,0.0,7.5,7.5,1
155.0,266.7252,-177.9118,0.0,7.5,7.5,1
160.0,269.9749,-181.7118,0.0,7.5,7.5,1
165.0,273.221,-185.5148,0.0,7.5,7.5,1
170.0,276.4647,-189.3198,0.0,7.5,7.5,1
175.0,279.7074,-193.1257,0.0,7.5,7.5,1
180.0,282.9489,-196.9326,0.0,7.5,7.5,1
185.0,286.1882,-200.7414,0.0,7.5,7.5,1
190.0,289.4277,-204.55,0.0,7.5,7.5,1
195.0,292.6684,-208.3576,0.0,7.5,7.5,1
200.0,295.9131,-212.1618,0.0,7.5,7.5,1
205.0,299.1618,-215.9626,0.0,7.5,7.5,1
210.0,302.4144,-219.7601,0.0,7.5,7.5,1
215.0,305.6694,-223.5554,0.0,7.5,7.5,1
220.0,308.9254,-227.35,0.0,7.5,7.5,1
225.0,312.1829,-231.1433,0.0,7.5,7.5,1
230.0,315.4407,-234.9362,0.0,7.5,7.5,1
235.0,318.6977,-238.7299,0.0,7.5,7.5,1
240.0,321.9532,-242.5248,0.0,7.5,7.5,1
245.0,325.2074,-246.3209,0.0,7.5,7.5,1
250.0,328.4598,-250.1185,0.0,7.5,7.5,1
255.0,331.7097,-253.9182,0.0,7.5,7.5,1
260.0,334.9579,-257.7195,0.0,7.5,7.5,1
265.0,338.2056,-261.5211,0.0,7.5,7.5,1
270.0,341.4543,-265.3219,0.0,7.5,7.5,1
275.0,344.7037,-269.1221,0.0,7.5,7.5,1
280.0,347.9536,-272.9218,0.0,7.5,7.5,1
285.0,351.2028,-276.7222,0.0,7.5,7.5,1
290.0,354.4511,-280.5233,0.0,7.5,7.5,1
295.0,357.6984,-284.3253,0.0,7.5,7.5,1
300.0,360.9452,-288.1277,0.0,7.5,7.5,1
305.0,364.1913,-291.9307,0.0,7.5,7.5,1
310.0,367.4363,-295.7346,0.0,7.5,7.5,1
315.0,370.6804,-299.5394,0.0,7.5,7.5,1
320.0,373.9227,-303.3456,0.0,7.5,7.5,1
325.0,377.1631,-307.1535,0.0,7.5,7.5,1
330.0,380.4015,-310.963,0.0,7.5,7.5,1
335.0,383.6374,-314.7747,0.0,7.5,7.5,1
