s_arc,x,y,z,width_left,width_right,sector
0.0000,-1.6833,-1.8782,0.0000,5.2710,5.0740,1
4.9996,0.1515,2.7725,0.0000,5.2950,5.0990,1
9.9991,1.9864,7.4231,0.0000,5.3190,5.1250,1
14.9986,3.8215,12.0737,0.0000,5.3430,5.1500,1
19.9981,5.6566,16.7242,0.0000,5.3670,5.1750,1
24.9975,7.4918,21.3746,0.0000,5.3910,5.2000,1
29.9969,9.3269,26.0250,0.0000,5.4150,5.2260,1
34.9963,11.1620,30.6754,0.0000,5.4390,5.2510,1
39.9956,12.9970,35.3258,0.0000,5.4620,5.2760,1
44.9949,14.8319,39.9761,0.0000,5.4860,5.3010,1
49.9941,16.6667,44.6265,0.0000,5.5100,5.3270,1
54.9933,18.5012,49.2769,0.0000,5.5340,5.3520,1
59.9924,20.3354,53.9274,0.0000,5.5580,5.3770,1
64.9915,22.1694,58.5779,0.0000,5.5820,5.4020,1
69.9905,24.0031,63.2285,0.0000,5.6060,5.4280,1
74.9894,25.8364,67.8791,0.0000,5.6300,5.4530,1
79.9883,27.6692,72.5298,0.0000,5.6540,5.4780,1
84.9871,29.5017,77.1806,0.0000,5.6780,5.5030,1
89.9859,31.3339,81.8315,0.0000,5.7020,5.5290,1
94.9846,33.1656,86.4825,0.0000,5.7260,5.5540,1
99.9832,34.9971,91.1336,0.0000,5.7500,5.5790,1
104.9818,36.8283,95.7847,0.0000,5.7740,5.6040,1
109.9804,38.6591,100.4359,0.0000,5.7980,5.6300,1
114.9789,40.4897,105.0872,0.0000,5.8220,5.6550,1
119.9775,42.3201,109.7385,0.0000,5.8450,5.6800,1
124.9760,44.1502,114.3899,0.0000,5.8690,5.7060,1
129.9745,45.9802,119.0414,0.0000,5.8930,5.7310,1
134.9729,47.8099,123.6929,0.0000,5.9170,5.7560,1
139.9714,49.6395,128.3445,0.0000,5.9410,5.7810,1
144.9699,51.4690,132.9962,0.0000,5.9650,5.8070,1
149.9684,53.2983,137.6479,0.0000,5.9890,5.8320,1
154.9669,55.1276,142.2997,0.0000,6.0130,5.8570,1
159.9654,56.9568,146.9515,0.0000,6.0370,5.8820,1
164.9640,58.7859,151.6034,0.0000,6.0610,5.9080,1
169.9626,60.6150,156.2553,0.0000,6.0850,5.9330,1
174.9612,62.4441,160.9072,0.0000,6.1090,5.9580,1
179.9599,64.2732,165.5592,0.0000,6.1330,5.9830,1
184.9586,66.1023,170.2113,0.0000,6.1570,6.0090,1
189.9574,67.9315,174.8634,0.0000,6.1810,6.0340,1
194.9562,69.7607,179.5155,0.0000,6.2050,6.0590,1
199.9551,71.5900,184.1676,0.0000,6.2290,6.0840,1
204.9541,73.4195,188.8198,0.0000,6.2520,6.1100,1
209.9531,75.2491,193.4720,0.0000,6.2760,6.1350,1
214.9522,77.0788,198.1242,0.0000,6.3000,6.1600,1
219.9515,78.9087,202.7765,0.0000,6.3240,6.1850,1
224.9508,80.7388,207.4288,0.0000,6.3480,6.2110,1
229.9502,82.5692,212.0811,0.0000,6.3720,6.2360,1
234.9497,84.3997,216.7334,0.0000,6.3960,6.2610,1
239.9493,86.2305,221.3858,0.0000,6.4200,6.2860,1
244.9490,88.0617,226.0381,0.0000,6.4440,6.3120,1
249.9489,89.8931,230.6905,0.0000,6.4680,6.3370,1
254.9489,91.7248,235.3429,0.0000,6.4920,6.3620,1
